"HolderAddress","Balance","PendingBalanceUpdate"
"0x057fa3f640599817e4f0fb0427ed5a2b87f92fa7","145129.699451281","No"
"0x85bd6a9db48c95ce164b642c60e716fe7ca86338","5499.727294635","No"
"0x93745bc3143711537ae2d3aab0117af0e5bc3fe7","1.06810331","No"
"0x91f40e3a0a2a0eb5408b10c2ed126e962bc2d37e","53718.066073364","No"
"0x8ba7af3a1d65ebe874d389082eea8e0411020497","274103.928586","No"
"0x8d1b878509562fe8c097536e6e8da5bdeed05d1b","0.153227712","No"
"0xd8abcfec16cae6e4bee297daab7643b37e593aab","510000","No"
"0xf65a7e86156120f6e4c23343e2bdfe89582ed1bb","228872.08668003","No"
"0x0000606ec42c2f4673b8a0e12c59451bfdcd8502","1E-09","No"
"0x0331defba145f4b551008ee0c24e0fb55a81f723","11975105.8384424","No"
"0xbacefae03632e6633cac3b2cacc773c9552ec713","0.002472911","No"
"0x59b2d96f80d4887c3a673d142b56e8ef6c5d5996","86452.413099464","No"
"0x3d6e8396a441064894c382b9bb746919fcf219fc","0.003539864","No"
"0x23321c07c835c22001eac603f9b1822772b0384c","1463683.58274159","No"
"0x98468c0e9342d4e0ac3e09257251fab192992092","1037088.77412893","No"
"0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f","222662.496276332","No"
"0x1c9ba72ee99ddc72130b9392fd3c51c4f6f01aa7","2893305.7813098","No"
"0xb88a66748152b5ffa55073a49d17f92d9a678b59","3182860.83689291","No"
"0x2786f80ace8aea4609d2ce8ea497df5300a297ce","1249919.12523991","No"
"0xfd0e78d4f392d5e30cfde941fd0ebde93db607e2","88278.92405541","No"
"0x0f30c4569fff9610c600afe18312b4a994f4e621","10000","No"
